
央视咪咕,#genre#
湖南卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw2664625012_-2047602359/PLTV/88888888/224/3221231729/index.m3u8?icpid=88888888&RTS=1662528670&from=12&hms_devid=2944&online=1662528670
北京卫视,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw2694773938_635712963/PLTV/88888888/224/3221231732/index.m3u8?icpid=88888888&RTS=1662528700&from=12&hms_devid=2944&online=1662528700
东方卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw2738831201_-559374383/PLTV/88888888/224/3221231738/index.m3u8?icpid=88888888&RTS=1662528744&from=12&hms_devid=2944&online=1662528744
辽宁卫视,http://hms2924nc1972666636.live.aikan.miguvideo.com/wh7f454c46tw3252137010_1107572312/PLTV/88888888/224/3221231802/index.m3u8?icpid=88888888&RTS=1662529257&from=12&hms_devid=2924&online=1662529257
1280p
浙江卫视,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw2074246994_-1821412288/PLTV/88888888/224/3221231624/index.m3u8?icpid=88888888&RTS=1662528079&from=12&hms_devid=2864&online=1662528079
东方卫视,http://hms2944nc1972666637.live.aikan.miguvideo.com/wh7f454c46tw1557780277_1686755707/PLTV/88888888/224/3221231567/index.m3u8?icpid=88888888&RTS=1662527563&from=12&hms_devid=2944&online=1662527563
黑龙江卫视,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1692297162_187893642/PLTV/88888888/224/3221231520/index.m3u8?icpid=88888888&RTS=1662527698&from=12&hms_devid=2844&online=1662527698
852p
广东卫视,http://hms2864nc1972666629.live.aikan.miguvideo.com/wh7f454c46tw2044110085_-1419742840/PLTV/88888888/224/3221231661/index.m3u8?icpid=88888888&RTS=1662528049&from=12&hms_devid=2864&online=1662528049
湖北卫视,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw1711199211_-1489064530/PLTV/88888888/224/3221231523/index.m3u8?icpid=88888888&RTS=1662527716&from=12&hms_devid=2904&online=1662527716
东南卫视,http://hms2924nc1972666636.live.aikan.miguvideo.com/wh7f454c46tw1039001407_-1818497735/PLTV/88888888/224/3221231414/index.m3u8?icpid=88888888&RTS=1662527044&from=12&hms_devid=2924&online=1662527044
贵州卫视,http://hms2904nc1972666633.live.aikan.miguvideo.com/wh7f454c46tw2094175246_-2102829016/PLTV/88888888/224/3221231676/index.m3u8?icpid=88888888&RTS=1662528099&from=12&hms_devid=2904&online=1662528099
陕西卫视,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw1065356599_1837333771/PLTV/88888888/224/3221231408/index.m3u8?icpid=88888888&RTS=1662527071&from=12&hms_devid=2844&online=1662527071
河北卫视,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1098011363_397081825/PLTV/88888888/224/3221231411/index.m3u8?icpid=88888888&RTS=1662527103&from=12&hms_devid=2844&online=1662527103
云南卫视,http://hms2864nc1972666630.live.aikan.miguvideo.com/wh7f454c46tw1114044784_946505558/PLTV/88888888/224/3221231499/index.m3u8?icpid=88888888&RTS=1662527119&from=12&hms_devid=2864&online=1662527119
山西卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1189649031_-2057924136/PLTV/88888888/224/3221231444/index.m3u8?icpid=88888888&RTS=1662527195&from=12&hms_devid=2944&online=1662527195
重庆卫视,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw1612347343_572315826/PLTV/88888888/224/3221231508/index.m3u8?icpid=88888888&RTS=1662527618&from=12&hms_devid=2904&online=1662527618
江西卫视,http://hms2944nc1972666638.live.aikan.miguvideo.com/wh7f454c46tw1644635989_-478086441/PLTV/88888888/224/3221231511/index.m3u8?icpid=88888888&RTS=1662527650&from=12&hms_devid=2944&online=1662527650
海南卫视,http://hms2924nc1972666635.live.aikan.miguvideo.com/wh7f454c46tw1660397390_-528995968/PLTV/88888888/224/3221231514/index.m3u8?icpid=88888888&RTS=1662527666&from=12&hms_devid=2924&online=1662527666
四川卫视,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw1674852043_-1092529569/PLTV/88888888/224/3221231517/index.m3u8?icpid=88888888&RTS=1662527680&from=12&hms_devid=2904&online=1662527680
青海卫视,http://hms2904nc1972666634.live.aikan.miguvideo.com/wh7f454c46tw1128963959_803875417/PLTV/88888888/224/3221231435/index.m3u8?icpid=88888888&RTS=1662527134&from=12&hms_devid=2904&online=1662527134
宁夏卫视,http://hms2844nc1972666627.live.aikan.miguvideo.com/wh7f454c46tw1141213603_778139851/PLTV/88888888/224/3221231441/index.m3u8?icpid=88888888&RTS=1662527146&from=12&hms_devid=2844&online=1662527146
